audio_file,annotation,high_f,low_f,start_time,end_time
L:\Sonobuoy_faster-rCNN\labeled_data\wav\HARP\CINMS17B_d03_111202_012730.d100.x.wav,D,65,32,107161.0,107163.703
L:\Sonobuoy_faster-rCNN\labeled_data\wav\HARP\CINMS17B_d03_111202_012730.d100.x.wav,40Hz,53,40,362056.0,362057.38
L:\Sonobuoy_faster-rCNN\labeled_data\wav\HARP\CINMS17B_d03_111202_012730.d100.x.wav,40Hz,78,38,362346.0,362348.222
L:\Sonobuoy_faster-rCNN\labeled_data\wav\HARP\CINMS17B_d03_111202_012730.d100.x.wav,40Hz,76,44,362502.0,362503.83
L:\Sonobuoy_faster-rCNN\labeled_data\wav\HARP\CINMS17B_d03_111202_012730.d100.x.wav,40Hz,73,35,362738.0,362739.76
L:\Sonobuoy_faster-rCNN\labeled_data\wav\HARP\CINMS17B_d03_111202_012730.d100.x.wav,40Hz,71,40,362843.0,362844.816
L:\Sonobuoy_faster-rCNN\labeled_data\wav\HARP\CINMS17B_d03_111202_012730.d100.x.wav,40Hz,65,43,364067.0,364069.157
L:\Sonobuoy_faster-rCNN\labeled_data\wav\HARP\CINMS17B_d03_111202_012730.d100.x.wav,40Hz,69,46,364216.974,364218.211
L:\Sonobuoy_faster-rCNN\labeled_data\wav\HARP\CINMS17B_d03_111202_012730.d100.x.wav,40Hz,69,48,364330.072,364331.346
L:\Sonobuoy_faster-rCNN\labeled_data\wav\HARP\CINMS17B_d03_111202_012730.d100.x.wav,40Hz,59,44,365074.652,365076.253
L:\Sonobuoy_faster-rCNN\labeled_data\wav\HARP\CINMS17B_d03_111202_012730.d100.x.wav,40Hz,67,46,365113.0,365115.38
L:\Sonobuoy_faster-rCNN\labeled_data\wav\HARP\CINMS17B_d03_111202_012730.d100.x.wav,40Hz,64,47,365212.507,365213.998
L:\Sonobuoy_faster-rCNN\labeled_data\wav\HARP\CINMS17B_d03_111202_012730.d100.x.wav,40Hz,64,47,365247.939,365249.394
L:\Sonobuoy_faster-rCNN\labeled_data\wav\HARP\CINMS17B_d03_111202_012730.d100.x.wav,40Hz,64,44,365310.013,365311.759
L:\Sonobuoy_faster-rCNN\labeled_data\wav\HARP\CINMS17B_d03_111202_012730.d100.x.wav,40Hz,64,47,365393.229,365395.339
L:\Sonobuoy_faster-rCNN\labeled_data\wav\HARP\CINMS17B_d03_111202_012730.d100.x.wav,40Hz,65,51,365456.721,365458.321
L:\Sonobuoy_faster-rCNN\labeled_data\wav\HARP\CINMS17B_d03_111202_012730.d100.x.wav,40Hz,66,48,365483.0,365484.653
L:\Sonobuoy_faster-rCNN\labeled_data\wav\HARP\CINMS17B_d03_111202_012730.d100.x.wav,40Hz,64,50,365515.0,365516.816
L:\Sonobuoy_faster-rCNN\labeled_data\wav\HARP\CINMS17B_d03_111202_012730.d100.x.wav,40Hz,62,42,365809.685,365811.541
L:\Sonobuoy_faster-rCNN\labeled_data\wav\HARP\CINMS17B_d03_111202_012730.d100.x.wav,40Hz,63,43,366222.102,366223.848
L:\Sonobuoy_faster-rCNN\labeled_data\wav\HARP\CINMS17B_d03_111202_012730.d100.x.wav,40Hz,63,48,366364.036,366365.709
L:\Sonobuoy_faster-rCNN\labeled_data\wav\HARP\CINMS17B_d03_111202_012730.d100.x.wav,40Hz,59,48,366548.511,366549.966
L:\Sonobuoy_faster-rCNN\labeled_data\wav\HARP\CINMS17B_d03_111202_012730.d100.x.wav,40Hz,65,42,366649.0,366650.288
L:\Sonobuoy_faster-rCNN\labeled_data\wav\HARP\CINMS17B_d03_111202_012730.d100.x.wav,40Hz,52,37,367455.0,367456.577
