audio_file,annotation,high_f,low_f,start_time,end_time
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\SB4-060206-185000.wav,40Hz,64,36,503.364,504.664
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\SB4-060206-185000.wav,40Hz,64,36,503.364,504.664
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\SB7-060207-164000.wav,20Hz,26,13,114.588,116.863
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\SB7-060207-165000.wav,20Hz,25,13,121.901,124.908
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\SB9-060208-181048.wav,40Hz,55,28,272.8,274.182
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\SB9-060208-181048.wav,40Hz,55,28,272.8,274.182
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\SB9-060208-182000.wav,40Hz,68,29,51.419,52.882
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\SB9-060208-191000.wav,40Hz,63,21,431.013,432.313
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\SB9-060208-192000.wav,40Hz,70,27,516.213,517.757
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\SB9-060208-192000.wav,40Hz,68,26,551.317,552.86
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\SB12-060209-184000.wav,40Hz,41,22,291.002,292.465
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\SB12-060209-184000.wav,40Hz,41,22,291.002,292.465
