audio_file,annotation,high_f,low_f,start_time,end_time
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0707-SB01-070629-170000.wav,40Hz,80,39,18.359,20.134
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0707-SB01-070629-180000.wav,40Hz,70,39,84.186,85.642
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0707-SB01-070629-182000.wav,20Hz,39,17,7.617,10.439
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0707-SB02-070629-211522.wav,D,93,39,188.118,190.94
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0707-SB02-070629-212000.wav,40Hz,73,47,218.706,220.254
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0707-SB02-070629-220000.wav,40Hz,84,38,301.381,302.61
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0707-SB03-070630-014000.wav,40Hz,64,36,94.245,95.52
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0707-SB03-070630-021000.wav,D,77,27,192.305,194.49
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0707-SB03-070630-030000.wav,40Hz,78,46,29.602,31.696
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0707-SB03-070630-031000.wav,D,80,31,194.399,198.45
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0707-SB04-070630-185000.wav,D,87,32,217.431,220.618
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0707-SB04-070630-192000.wav,D,72,33,81.363,84.049
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0707-SB08-070702-165000.wav,D,97,24,39.935,43.576
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0707-SB08-070702-170000.wav,D,108,48,238.664,241.031
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0707-SB09-070703-000000.wav,D,77,37,217.295,219.844
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0707-SB10-070703-191000.wav,D,76,21,148.828,153.79
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0707-SB10-070703-202000.wav,D,82,20,195.362,200.323
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0707-SB10-070703-205000.wav,40Hz,84,48,2.428,4.294
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0707-SB10-070703-211000.wav,40Hz,73,41,46.353,49.767
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0707-SB11-070704-003656.wav,40Hz,78,37,101.437,103.895
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0707-SB11-070704-010000.wav,40Hz,80,32,106.125,108.948
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0707-SB13-070704-191121.wav,D,80,27,10.12,15.355
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0707-SB14-070705-000000.wav,D,122,47,147.235,149.42
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0707-SB21-070709-154000.wav,D,64,29,134.9,139.497
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0707-SB21-070709-162000.wav,40Hz,63,36,209.101,210.74
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0707-SB24-070710-190000.wav,40Hz,85,48,119.607,121.291
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0707-SB26-070711-202000.wav,D,80,27,109.812,114.0
