audio_file,annotation,high_f,low_f,start_time,end_time
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0711-SB08-071107-233000.wav,D,60,34,218.862,223.385
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0711-SB08-071107-233000.wav,D,50,32,226.563,228.152
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0711-SB08-071107-233000.wav,D,53,38,233.347,236.647
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0711-SB09-071108-191000.wav,20Hz,27,14,2.933,4.887
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0711-SB09-071108-191000.wav,40Hz,57,23,5.945,7.573
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0711-SB09-071108-191000.wav,40Hz,47,24,47.136,48.682
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0711-SB09-071108-191000.wav,40Hz,49,30,50.354,51.737
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0711-SB09-071108-191000.wav,40Hz,51,27,71.356,72.658
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0711-SB09-071108-191000.wav,20Hz,32,17,93.961,96.159
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0711-SB09-071108-191000.wav,20Hz,33,17,152.821,154.775
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0711-SB09-071108-191000.wav,40Hz,33,17,152.821,154.775
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0711-SB09-071108-191000.wav,40Hz,76,49,196.866,198.575
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0711-SB09-071108-191000.wav,40Hz,76,49,196.866,198.575
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0711-SB09-071108-191000.wav,20Hz,30,18,399.064,400.773
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0711-SB09-071108-191000.wav,20Hz,30,18,399.064,400.773
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0711-SB10-071109-000000.wav,20Hz,30,17,105.413,107.123
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0711-SB10-071109-000000.wav,40Hz,48,22,179.865,181.33
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0711-SB10-071109-000000.wav,40Hz,48,22,179.865,181.33
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0711-SB10-071109-000000.wav,20Hz,32,17,355.251,357.123
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0711-SB10-071109-001000.wav,20Hz,32,17,73.447,75.645
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0711-SB10-071109-001000.wav,40Hz,44,19,102.389,104.098
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0711-SB10-071109-001000.wav,40Hz,54,22,195.833,197.624
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0711-SB10-071109-001000.wav,40Hz,53,25,204.951,206.742
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0711-SB10-071109-001000.wav,40Hz,58,20,258.018,260.135
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0711-SB10-071109-001000.wav,40Hz,58,20,258.018,260.135
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0711-SB10-071109-001000.wav,40Hz,55,24,265.101,266.892
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0711-SB10-071109-001000.wav,40Hz,44,14,277.856,279.646
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0711-SB10-071109-001000.wav,40Hz,44,18,338.018,339.891
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0711-SB10-071109-001000.wav,40Hz,61,31,486.077,488.113
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0711-SB13-071110-200000.wav,40Hz,71,18,58.018,60.054
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0711-SB13-071110-200000.wav,40Hz,51,20,63.147,65.182
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0711-SB13-071110-200000.wav,40Hz,49,23,73.46,75.413
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0711-SB13-071110-200000.wav,40Hz,63,25,78.832,79.972
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0711-SB13-071110-200000.wav,40Hz,53,27,83.88,85.67
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0711-SB13-071110-200000.wav,40Hz,50,24,94.299,95.683
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0711-SB13-071110-200000.wav,40Hz,18,18,104.856,104.856
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0711-SB13-071110-200000.wav,40Hz,42,17,128.507,130.135
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0711-SB13-071110-200000.wav,40Hz,42,17,128.507,130.135
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0711-SB13-071110-200000.wav,40Hz,41,19,146.065,147.937
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0711-SB13-071110-200000.wav,40Hz,41,22,168.318,169.865
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0711-SB13-071110-200000.wav,40Hz,35,19,185.006,186.635
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0711-SB13-071110-200000.wav,40Hz,35,19,185.006,186.635
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0711-SB13-071110-200000.wav,40Hz,55,24,224.681,226.96
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0711-SB13-071110-200000.wav,40Hz,46,27,231.03,232.984
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0711-SB13-071110-200000.wav,40Hz,46,20,261.425,262.89
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0711-SB13-071110-200000.wav,40Hz,46,20,261.425,262.89
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0711-SB13-071110-200000.wav,40Hz,44,20,268.018,269.565
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0711-SB13-071110-200000.wav,40Hz,46,25,425.332,427.042
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0711-SB13-071110-200000.wav,40Hz,57,29,485.67,487.217
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0711-SB13-071110-200000.wav,40Hz,47,16,499.321,501.03
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0711-SB13-071110-200000.wav,40Hz,48,25,517.787,519.496
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0711-SB13-071110-200000.wav,40Hz,48,25,517.787,519.496
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0711-SB13-071110-200000.wav,40Hz,51,28,528.67,530.054
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0711-SB13-071110-201000.wav,40Hz,46,20,112.401,114.03
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0711-SB13-071110-201000.wav,40Hz,43,21,122.984,124.694
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0711-SB13-071110-201000.wav,40Hz,49,20,133.485,135.439
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0711-SB13-071110-201000.wav,40Hz,54,26,148.67,150.298
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0711-SB13-071110-201000.wav,40Hz,55,25,152.007,153.635
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0711-SB13-071110-201000.wav,40Hz,57,24,157.706,159.252
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0711-SB13-071110-201000.wav,40Hz,57,24,157.706,159.252
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0711-SB13-071110-201000.wav,40Hz,58,26,157.543,159.171
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0711-SB13-071110-201000.wav,40Hz,58,26,157.543,159.171
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0711-SB13-071110-201000.wav,40Hz,49,27,163.404,165.113
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0711-SB13-071110-201000.wav,40Hz,48,31,249.646,250.949
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0711-SB13-071110-201000.wav,40Hz,60,29,255.67,257.217
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0711-SB13-071110-201000.wav,40Hz,60,29,255.67,257.217
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0711-SB13-071110-201000.wav,40Hz,43,20,304.599,306.146
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0711-SB13-071110-201000.wav,40Hz,54,29,314.531,315.996
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0711-SB13-071110-201000.wav,40Hz,54,29,314.531,315.996
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0711-SB13-071110-201000.wav,40Hz,51,20,375.683,376.986
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0711-SB13-071110-201000.wav,40Hz,51,20,375.683,376.986
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0711-SB13-071110-201000.wav,40Hz,42,20,503.88,505.67
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0711-SB13-071110-201000.wav,40Hz,42,20,503.88,505.67
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0711-SB13-071110-201000.wav,40Hz,49,19,533.541,535.332
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0711-SB13-071110-220000.wav,40Hz,50,24,57.693,59.402
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0711-SB13-071110-220000.wav,40Hz,46,28,163.691,165.156
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0711-SB17-071112-234000.wav,D,61,33,77.247,81.155
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0711-SB17-071112-234000.wav,D,60,31,120.88,124.625
L:\Sonobuoy_faster-rCNN\labeled_data\wav\CalCOFI-Sonobuoy\CC0711-SB21-071115-223000.wav,20Hz,29,17,113.215,114.681
